username,book_title,liked,clicked,saved,shared,timestamp,feedback_score
Meenakshi,Trust: Pandora's Box (TRUST Trilogy #3; TRUST Universe #6-8),False,False,False,False,2025-01-02 11:40:37.806704,0.0
Meenakshi,The Standard Grand,True,False,False,False,2025-01-02 11:52:19.026810,40.0
Meenakshi,Honor's Splendour,True,False,True,False,2025-01-02 11:53:06.171071,70.0
sanj,"Death's Master (Flat Earth, #2)",True,False,False,False,2025-01-02 13:43:37.575895,40.0
Swiggy,"The Dark Web Murders (Inspector Sheehan Mysteries, #4)",True,False,True,True,2025-01-02 15:37:09.970050,90.0
